"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"54725",1.79597297297297,8.01867567567568,17.4709887057629,1.36706667647759e-47,1.27902758251243e-43,97.5018863695218
"11265",3.04863513513514,7.74520945945946,16.9264155879724,1.53839216742074e-45,7.19659855919423e-42,92.8274448397534
"56171",2.63307432432432,7.29490202702703,15.9105623277324,1.02152025565576e-41,3.18578117063843e-38,84.1163358136489
"9674",1.22878378378378,11.0815810810811,15.8743028138105,1.39774736338637e-41,3.26933108296071e-38,83.8059471157992
"16019",2.31908108108108,6.15366216216216,15.8385370195196,1.90428737349125e-41,3.56330253327682e-38,83.4998378396471
"57269",2.33267567567568,9.02643918918919,15.743700533013,4.32248206587557e-41,6.74019036805531e-38,82.6884272228183
"24670",2.26891216216217,14.5252398648649,15.5940223604768,1.57478801197366e-40,2.10481666286079e-37,81.4086527390725
"19118",1.95980405405405,9.18095608108108,15.551287274955,2.2774201706123e-40,2.47896544809812e-37,81.0434674365532
"31926",2.27716891891891,7.87811148648649,15.5416456614736,2.47505760847561e-40,2.47896544809812e-37,80.9610900635469
"42354",2.32422297297297,6.62792905405405,15.5299056548294,2.73898994365444e-40,2.47896544809812e-37,80.860790894438
"21691",2.18654054054054,5.48830405405405,15.5227066321432,2.91455963329193e-40,2.47896544809812e-37,80.7992907032257
"11951",1.26970270270271,11.1128783783784,15.4690756874555,4.62963171233863e-40,3.36854239715195e-37,80.3412193026885
"25515",1.97779054054054,10.0253885135135,15.4678082376793,4.6805313342214e-40,3.36854239715195e-37,80.3303957343417
"49770",2.58489189189189,9.16042567567568,15.4492000398563,5.49552597233173e-40,3.67258149979541e-37,80.1714988860579
"24739",2.15315540540541,5.96886148648649,15.430361171496,6.46515097378495e-40,4.03253016738213e-37,80.0106525575541
"8128",1.76143918918919,7.19236148648649,15.3316497050965,1.51424437141037e-39,8.60741021565072e-37,79.1681968732802
"28303",-1.17905405405405,6.09137162162162,-15.3279000305682,1.56398005201007e-39,8.60741021565072e-37,79.136206845205
"36151",2.29420270270271,6.74832432432432,15.3157095130256,1.73723410357448e-39,9.02975681835711e-37,79.032210536461
"16328",3.64070945945946,8.98092905405405,15.2677656023303,2.62581898158333e-39,1.29300854693125e-36,78.6232959583119
"34432",-2.05390540540541,7.43435135135135,-15.1679137654994,6.204405566241e-39,2.90242092388754e-36,77.7721393394316
"57014",1.86010135135135,8.140125,15.0801526553196,1.32029528208432e-38,5.88222983770518e-36,77.0246102053733
"15400",2.05472972972973,5.89727027027027,14.9783979261469,3.16688544424462e-38,1.34679000983421e-35,76.1585852613626
"30991",1.58325675675676,6.03134459459459,14.9219862348779,5.14198792914989e-38,2.09167126370115e-35,75.6788091895709
"55696",1.94866891891891,7.2974222972973,14.8547328531107,9.16098150574974e-38,3.57125595699144e-35,75.1071543418682
"30929",1.68485810810811,6.30988175675676,14.7776407651565,1.77519665428994e-37,6.39100865503095e-35,74.4523261431016
"24013",-2.83031756756756,8.48442905405405,-14.7775854497504,1.77603917305264e-37,6.39100865503095e-35,74.4518564675231
"12130",-2.24364864864865,10.4049797297297,-14.6920837226043,3.69691917070893e-37,1.28105095411677e-34,73.726188793105
"42238",-2.04791216216217,12.2332398648649,-14.6729189767149,4.35678824009557e-37,1.45578967051194e-34,73.5636224791002
"18419",-1.6336891891892,11.0571554054054,-14.6654666497583,4.64406545842453e-37,1.49827160100069e-34,73.5004164665615
"38291",-1.6223445945946,12.6140641891892,-14.6544867558206,5.10214937819039e-37,1.59119031941164e-34,73.4073009346411
"6848",1.89814864864865,9.40828378378378,14.6202081716109,6.84335333977801e-37,2.06536818861171e-34,73.1166701832784
"5849",1.90316216216216,9.46991891891892,14.5951478142754,8.48131967378467e-37,2.41473633840928e-34,72.9042644305606
"55804",-2.03543243243244,11.9890810810811,-14.5946556488633,8.51713330135808e-37,2.41473633840928e-34,72.9000935345261
"7646",-1.65750675675676,11.581597972973,-14.5651726426504,1.09623013765882e-36,3.0165674023341e-34,72.6502787450164
"27015",-1.57537162162162,11.3538277027027,-14.5593713955334,1.15203246823393e-36,3.07954736365618e-34,72.6011333733968
"54652",-1.76266216216217,9.89391891891892,-14.5149157688138,1.68522593430019e-36,4.37971495592017e-34,72.2246331968101
"35157",1.80502702702703,6.96230405405405,14.4363353090559,3.2995344460036e-36,8.34336331805667e-34,71.5595957615921
"35908",2.70042567567568,7.69242905405405,14.4240843032097,3.66370619057212e-36,8.99759829020983e-34,71.4559690339316
"50503",1.88452702702702,6.03011486486487,14.4213410405021,3.75060210900153e-36,8.99759829020983e-34,71.4327668607597
"39791",-2.57508783783784,9.93991554054054,-14.369583686213,5.83596085591213e-36,1.35148524853456e-33,70.9951531232749
"18146",-2.35027702702703,7.61842905405405,-14.367859990175,5.92249841704968e-36,1.35148524853456e-33,70.9805838257385
"43601",1.91439189189189,6.12452702702703,14.3279135138548,8.32942246892363e-36,1.85547801474404e-33,70.6430284601727
"20610",-2.28660810810812,10.1995743243243,-14.3218625520362,8.77089242024506e-36,1.90838301125146e-33,70.5919112560171
"18029",-2.17227027027027,8.99818918918919,-14.3101568887767,9.69232596779319e-36,2.06094094896984e-33,70.4930353500968
"30254",-1.81231756756757,8.31956418918919,-14.2646445433576,1.42905338861538e-35,2.97116077864122e-33,70.1087385473233
"36643",-2.35067567567567,7.10243243243243,-14.2390118400179,1.77817065231503e-35,3.61664448327379e-33,69.8923997330051
"24041",2.03523648648649,6.73730067567568,14.2168121888999,2.14862064105414e-35,4.18920522514123e-33,69.7050937965742
"27156",-1.93002027027028,13.6681452702703,-14.2167789825057,2.149228845733e-35,4.18920522514123e-33,69.7048136636941
"27691",-1.40738513513513,10.6588277027027,-14.19774881685,2.5276462603979e-35,4.82625681883322e-33,69.5442931390821
"7662",-1.35223648648649,6.77044932432432,-14.1819932750121,2.89079191075918e-35,5.40924982341257e-33,69.4114247610086
"40118",1.66575675675676,4.88381756756757,14.1760039751161,3.04211759546375e-35,5.58079455356056e-33,69.3609235667742
"50912",-2.39393243243243,8.21597972972973,-14.1546603722596,3.64862042881015e-35,6.56471014075919e-33,69.1809892440821
"37440",-2.77970945945945,9.60809797297297,-14.1231931551862,4.76967819557042e-35,8.41983192410506e-33,68.9158035570038
"3097",-3.02229054054054,8.84190878378378,-14.0862073626571,6.5342125529571e-35,1.1321128267679e-32,68.6042564203474
"25806",-1.48019594594594,8.58894256756757,-13.9956795124369,1.41091988908702e-34,2.40010299678149e-32,67.8423801370291
